DATE_OBS             IT02SMIR  IT01PMRF  IT04TELF  IT03PMRA  IT06TELM  IT05TELA  IT08GTWM  IT07PZTA  IT10CEBN   IT09GTB  IT12HOPA  IT11CEBP  IT14SPPX  IT13FRAP  IT16SPNX  IT15SPPY  IT18SPPZ  IT17SPNY  IT20PMRA  IT19SPNZ  IT22PCBP  IT21TELD   IT24CPU  IT23PCPC  IT26MEC1   IT25OSC  IT28SMRA  IT27MEC2  IT30TMGT  IT29TFGT  BT12CCD2  BT11CCD1  BT14CCD4  BT13CCD3  BT01TELA  BT02TELF  BT03PMAP  BT04PMRD  BT05GTEL  BT06CBPX  BT07CBNX  BT08SPPX  BT09SPNX  BT10HOPA   BT15IEB  BT16PMSP  BT17SMAP  ITF2CCD2  ITF1CCD1  ITNUCCD3  ITSJCCD4
2022-08-03T00:00:30     31.10     47.14     29.97     44.76     24.56     33.75     27.86     31.47      3.07     20.97     91.28      2.20     18.99     31.45     18.97     21.84     24.56     21.44     11.24      7.07     30.61     34.59     35.20     37.38     31.83     33.24     31.80     30.70     21.23     26.79    -59.82    -59.82    -54.24    -54.24     34.66     28.88     11.14      3.82     23.43      1.21      1.46     18.30     17.41     93.50     30.27     32.06     31.98    -63.00    -63.00    -62.25    -63.00
2022-08-03T00:01:30     31.09     47.13     29.96     44.78     24.57     33.78     27.85     31.52      3.07     20.98     91.22      2.20     18.98     31.47     18.98     21.85     24.57     21.44     11.32      7.07     30.55     34.55     35.17     37.32     31.79     33.18     31.79     30.67     21.25     26.81    -59.82    -61.03    -54.24    -54.24     34.66     29.05     11.22      3.90     23.43      1.21      1.54     18.30     17.57     93.50     30.27     32.14     31.98    -63.00    -63.00    -62.17    -63.00
2022-08-03T00:02:30     31.10     47.14     29.98     44.78     24.56     33.74     27.88     31.58      3.07     20.99     91.11      2.21     19.01     31.50     18.98     21.85     24.59     21.47     11.39      7.06     30.50     34.55     35.14     37.32     31.73     33.15     31.78     30.61     21.28     26.84    -59.82    -63.45    -54.24    -54.24     34.66     29.05     11.22      4.06     23.43      1.30      1.54     18.30     17.57     93.50     30.27     32.14     31.98    -63.00    -63.00    -62.08    -63.08
2022-08-03T00:03:30     31.10     47.14     29.98     44.75     24.55     33.75     27.86     31.64      3.08     21.00     91.16      2.21     18.99     31.51     18.99     21.84     24.60     21.47     11.46      7.06     30.48     34.59     35.10     37.31     31.70     33.13     31.80     30.59     21.31     26.87    -59.82    -61.03    -54.24    -54.24     34.66     29.13     11.31      4.14     23.43      1.46      1.62     18.30     17.49     93.50     30.27     32.22     31.98    -63.00    -63.00    -62.25    -63.08
2022-08-03T00:04:30     31.09     47.12     29.99     44.78     24.57     33.75     27.88     31.68      3.09     20.97     91.28      2.22     19.05     31.54     18.98     21.84     24.60     21.51     11.53      7.05     30.44     34.61     35.06     37.27     31.67     33.08     31.79     30.55     21.35     26.91    -59.82    -62.24    -54.24    -54.24     34.66     29.29     11.47      4.14     23.43      1.38      1.62     18.30     17.49     93.42     30.27     32.06     31.98    -63.00    -63.00    -62.25    -63.17
2022-08-03T00:05:30     31.10     47.11     30.01     44.79     24.55     33.72     27.89     31.74      3.09     21.01     91.28      2.23     18.98     31.54     19.01     21.83     24.61     21.48     11.59      7.04     30.40     34.63     35.04     37.24     31.64     33.02     31.80     30.52     21.40     26.93    -59.82    -62.24    -54.24    -54.24     34.66     29.29     11.47      4.39     23.43      1.38      1.62     18.30     17.57     93.34     30.27     32.14     31.98    -63.00    -63.00    -62.17    -63.25
2022-08-03T00:06:30     31.09     47.14     30.00     44.74     24.57     33.71     27.89     31.80      3.10     20.98     90.88      2.24     18.99     31.55     18.97     21.84     24.62     21.49     11.64      7.03     30.39     34.61     34.99     37.21     31.61     33.00     31.80     30.48     21.46     26.95    -59.82    -59.82    -54.24    -54.24     34.66     29.29     11.47      4.39     23.43      1.46      1.70     18.30     17.49     93.42     30.27     32.14     31.98    -63.00    -63.00    -62.17    -63.08
2022-08-03T00:07:30     31.10     47.14     29.99     44.77     24.55     33.72     27.91     31.83      3.11     20.98     90.99      2.26     19.00     31.57     19.04     21.83     24.62     21.46     11.69      7.03     30.36     34.64     34.93     37.17     31.59     32.94     31.80     30.45     21.52     27.00    -59.82    -61.34    -54.24    -54.24     34.66     29.45     11.63      4.39     23.43      1.46      1.70     18.30     17.49     93.34     30.27     32.22     31.98    -63.00    -63.00    -62.00    -63.08
2022-08-03T00:08:30     31.10     47.17     30.01     44.77     24.57     33.71     27.92     31.87      3.12     20.96     90.94      2.28     18.99     31.61     18.98     21.83     24.63     21.48     11.74      7.02     30.34     34.64     34.89     37.15     31.58     32.90     31.80     30.40     21.55     27.06    -61.03    -61.03    -54.24    -54.24     34.66     29.53     11.71      4.39     23.43      1.46      1.70     18.39     17.57     93.42     30.27     32.22     31.98    -63.00    -63.00    -62.08    -63.00
2022-08-03T00:09:30     31.09     47.13     30.01     44.75     24.56     33.69     27.93     31.92      3.13     20.97     90.88      2.29     19.02     31.63     18.99     21.82     24.64     21.47     11.78      7.02     30.28     34.64     34.87     37.12     31.53     32.87     31.79     30.38     21.62     27.09    -59.82    -61.03    -54.24    -54.24     34.66     29.53     11.71      4.39     23.43      1.46      1.70     18.30     17.57     93.26     30.27     32.22     31.98    -63.00    -63.00    -62.08    -63.00
