DATE_OBS             IT02SMIR  IT01PMRF  IT04TELF  IT03PMRA  IT06TELM  IT05TELA  IT08GTWM  IT07PZTA  IT10CEBN   IT09GTB  IT12HOPA  IT11CEBP  IT14SPPX  IT13FRAP  IT16SPNX  IT15SPPY  IT18SPPZ  IT17SPNY  IT20PMRA  IT19SPNZ  IT22PCBP  IT21TELD   IT24CPU  IT23PCPC  IT26MEC1   IT25OSC  IT28SMRA  IT27MEC2  IT30TMGT  IT29TFGT  BT12CCD2  BT11CCD1  BT14CCD4  BT13CCD3  BT01TELA  BT02TELF  BT03PMAP  BT04PMRD  BT05GTEL  BT06CBPX  BT07CBNX  BT08SPPX  BT09SPNX  BT10HOPA   BT15IEB  BT16PMSP  BT17SMAP  ITF2CCD2  ITF1CCD1  ITNUCCD3  ITSJCCD4
2022-04-14T00:00:30     32.44     48.85     31.40     46.11     25.58     34.90     28.46     32.89      1.30     21.00     93.92      1.00     19.04     32.97     18.98     22.02     25.08     21.45     13.53      6.59     31.08     35.99     35.75     37.86     32.18     33.77     33.19     31.19     22.59     28.55    -61.03    -61.34    -54.24    -54.24     36.13     30.51     13.42      4.88     23.67     -0.41      0.48     18.30     17.41     96.43     31.24     33.44     33.44    -63.00    -63.00    -62.33    -63.17
2022-04-14T00:01:30     32.44     48.82     31.40     46.15     25.58     34.89     28.45     32.89      1.30     21.01     93.98      0.99     18.99     32.97     19.04     22.02     25.07     21.49     13.48      6.59     31.05     36.00     35.75     37.84     32.17     33.74     33.20     31.15     22.64     28.59    -61.03    -62.24    -54.24    -54.24     36.13     30.51     13.42      4.79     23.67     -0.33      0.48     18.30     17.41     96.43     31.24     33.44     33.44    -63.00    -63.00    -62.42    -63.33
2022-04-14T00:02:30     32.46     48.80     31.40     46.18     25.57     34.88     28.44     32.86      1.29     21.00     93.92      0.99     19.03     32.95     18.96     22.03     25.06     21.44     13.44      6.58     31.03     35.99     35.70     37.82     32.13     33.73     33.19     31.14     22.68     28.61    -61.03    -61.03    -54.24    -54.24     36.13     30.51     13.26      4.63     23.67     -0.41      0.48     18.30     17.33     96.43     31.16     33.44     33.44    -63.00    -63.00    -62.58    -63.25
2022-04-14T00:03:30     32.44     48.82     31.41     46.16     25.58     34.90     28.45     32.83      1.28     21.02     93.86      0.98     19.00     32.96     19.00     22.02     25.06     21.49     13.39      6.57     31.03     36.00     35.67     37.78     32.11     33.69     33.19     31.09     22.74     28.61    -61.03    -62.24    -54.24    -54.24     36.13     30.51     13.18      4.47     23.67     -0.41      0.32     18.30     17.49     96.18     31.16     33.44     33.44    -63.00    -63.00    -62.33    -63.08
2022-04-14T00:04:30     32.46     48.85     31.41     46.17     25.58     34.89     28.45     32.84      1.28     21.03     93.92      0.98     18.97     32.95     18.99     22.02     25.06     21.47     13.34      6.58     31.00     35.99     35.63     37.77     32.09     33.65     33.18     31.07     22.76     28.64    -59.82    -63.45    -51.81    -54.24     36.13     30.51     13.18      4.39     23.67     -0.33      0.40     18.30     17.41     96.18     31.08     33.44     33.44    -63.00    -63.00    -62.58    -63.25
2022-04-14T00:05:30     32.44     48.83     31.39     46.18     25.58     34.89     28.47     32.82      1.27     21.04     93.73      0.97     19.02     32.96     19.01     22.02     25.05     21.47     13.30      6.57     31.01     35.97     35.63     37.74     32.06     33.65     33.20     31.03     22.80     28.67    -59.82    -61.34    -54.24    -54.24     36.13     30.51     13.18      4.23     23.67     -0.41      0.32     18.30     17.33     96.18     31.08     33.44     33.44    -63.00    -63.00    -62.67    -63.08
2022-04-14T00:06:30     32.44     48.82     31.38     46.17     25.57     34.89     28.45     32.80      1.27     21.04     93.73      0.97     19.05     32.96     18.99     22.02     25.06     21.48     13.24      6.57     30.96     35.99     35.61     37.75     32.03     33.63     33.20     31.01     22.85     28.69    -61.03    -60.43    -54.24    -54.24     36.13     30.51     13.10      4.14     23.67     -0.33      0.48     18.30     17.33     96.18     31.16     33.44     33.44    -63.00    -63.00    -62.17    -63.17
2022-04-14T00:07:30     32.44     48.85     31.40     46.17     25.57     34.89     28.47     32.80      1.26     21.04     93.86      0.96     19.01     32.97     18.97     22.03     25.06     21.47     13.20      6.57     30.99     35.99     35.57     37.69     32.02     33.60     33.21     30.97     22.87     28.70    -61.03    -61.03    -54.24    -54.24     36.13     30.51     13.18      3.90     23.67     -0.49      0.40     18.30     17.41     96.18     31.16     33.44     33.44    -63.00    -63.00    -62.42    -63.00
2022-04-14T00:08:30     32.47     48.80     31.38     46.15     25.57     34.91     28.47     32.78      1.26     21.04     93.80      0.96     18.96     32.96     19.02     22.02     25.06     21.49     13.16      6.57     30.97     35.98     35.57     37.72     31.98     33.56     33.20     30.95     22.91     28.74    -59.82    -63.45    -54.24    -54.24     36.13     30.51     12.93      3.74     23.67     -0.41      0.32     18.30     17.41     96.10     31.24     33.44     33.44    -63.00    -63.00    -62.67    -63.17
2022-04-14T00:09:30     32.47     48.83     31.39     46.20     25.57     34.91     28.46     32.75      1.24     21.04     93.67      0.95     18.99     32.97     19.00     22.02     25.06     21.48     13.10      6.56     30.97     36.00     35.54     37.70     31.97     33.58     33.22     30.94     22.95     28.75    -59.82    -61.03    -54.24    -54.24     36.13     30.51     12.93      3.66     23.67     -0.49      0.32     18.30     17.41     95.94     31.16     33.44     33.44    -63.00    -63.00    -62.58    -63.33
