DATE_OBS             IT02SMIR  IT01PMRF  IT04TELF  IT03PMRA  IT06TELM  IT05TELA  IT08GTWM  IT07PZTA  IT10CEBN   IT09GTB  IT12HOPA  IT11CEBP  IT14SPPX  IT13FRAP  IT16SPNX  IT15SPPY  IT18SPPZ  IT17SPNY  IT20PMRA  IT19SPNZ  IT22PCBP  IT21TELD   IT24CPU  IT23PCPC  IT26MEC1   IT25OSC  IT28SMRA  IT27MEC2  IT30TMGT  IT29TFGT  BT12CCD2  BT11CCD1  BT14CCD4  BT13CCD3  BT01TELA  BT02TELF  BT03PMAP  BT04PMRD  BT05GTEL  BT06CBPX  BT07CBNX  BT08SPPX  BT09SPNX  BT10HOPA   BT15IEB  BT16PMSP  BT17SMAP  ITF2CCD2  ITF1CCD1  ITNUCCD3  ITSJCCD4
2022-05-11T00:00:30     31.58     47.64     30.60     45.11     24.96     33.69     28.18     32.38      2.38     21.04     91.45      1.72     19.02     32.43     18.99     21.93     24.72     21.45     12.06      6.77     30.67     35.52     35.20     37.46     31.64     33.29     32.27     30.49     23.08     28.27    -59.82    -61.34    -54.24    -54.24     35.88     30.27     11.96      2.76     23.43      0.73      1.05     18.30     17.57     93.74     31.00     32.71     32.46    -63.00    -63.75    -63.00    -64.00
2022-05-11T00:01:30     31.58     47.67     30.61     45.11     24.95     33.69     28.18     32.37      2.41     21.04     91.40      1.74     18.99     32.44     18.98     21.93     24.72     21.46     12.06      6.77     30.71     35.51     35.20     37.47     31.63     33.30     32.28     30.49     23.12     28.32    -61.03    -62.24    -54.24    -54.24     35.88     30.27     11.96      2.68     23.43      0.73      1.05     18.30     17.41     93.74     31.00     32.71     32.46    -63.00    -63.42    -63.00    -64.00
2022-05-11T00:02:30     31.59     47.65     30.62     45.13     24.95     33.69     28.19     32.38      2.43     21.04     91.57      1.77     19.01     32.45     19.01     21.93     24.72     21.47     12.09      6.78     30.75     35.51     35.20     37.47     31.64     33.30     32.30     30.49     23.16     28.33    -59.82    -62.54    -54.24    -54.24     35.88     30.27     11.96      2.52     23.43      0.73      1.21     18.30     17.57     93.74     31.00     32.71     32.46    -63.00    -63.25    -63.00    -64.00
2022-05-11T00:03:30     31.59     47.64     30.65     45.14     24.96     33.70     28.18     32.37      2.45     21.05     91.45      1.78     19.01     32.46     18.98     21.94     24.71     21.42     12.11      6.78     30.79     35.50     35.21     37.50     31.65     33.29     32.31     30.50     23.16     28.35    -59.82    -60.13    -54.24    -54.24     35.88     30.27     11.96      2.43     23.43      0.73      1.21     18.30     17.41     93.74     31.00     32.71     32.46    -63.00    -63.08    -63.00    -63.83
2022-05-11T00:04:30     31.59     47.62     30.65     45.14     24.97     33.74     28.19     32.36      2.48     21.07     91.57      1.81     19.03     32.48     18.98     21.94     24.71     21.48     12.14      6.78     30.84     35.49     35.23     37.53     31.67     33.32     32.31     30.51     23.19     28.39    -59.82    -62.24    -54.24    -54.24     35.88     30.27     12.04      2.27     23.43      0.73      1.21     18.30     17.49     93.74     31.00     32.71     32.46    -63.00    -63.00    -63.00    -63.92
2022-05-11T00:05:30     31.59     47.62     30.64     45.16     24.97     33.72     28.20     32.35      2.49     21.06     91.57      1.83     19.02     32.47     19.01     21.93     24.69     21.45     12.19      6.79     30.88     35.45     35.27     37.56     31.67     33.31     32.31     30.50     23.19     28.43    -59.82    -59.82    -54.24    -54.24     35.88     30.27     12.12      2.19     23.43      0.73      1.21     18.30     17.49     93.74     31.24     32.71     32.46    -63.00    -63.00    -62.83    -63.33
2022-05-11T00:06:30     31.59     47.68     30.67     45.16     24.97     33.74     28.21     32.33      2.52     21.08     91.57      1.86     18.99     32.49     18.98     21.94     24.69     21.46     12.22      6.79     30.94     35.47     35.27     37.59     31.67     33.33     32.31     30.53     23.19     28.43    -59.82    -59.82    -54.24    -54.24     35.88     30.27     12.12      2.03     23.43      0.73      1.21     18.30     17.49     93.74     31.24     32.71     32.46    -63.00    -63.00    -62.42    -63.25
2022-05-11T00:07:30     31.58     47.58     30.68     45.15     24.98     33.76     28.20     32.32      2.55     21.07     91.51      1.88     19.04     32.46     19.02     21.95     24.69     21.47     12.25      6.80     30.99     35.46     35.31     37.63     31.67     33.36     32.35     30.54     23.18     28.46    -59.82    -59.82    -54.24    -54.24     35.88     30.27     12.20      1.95     23.43      0.97      1.21     18.39     17.57     93.74     31.24     32.71     32.46    -63.00    -63.00    -62.17    -63.00
2022-05-11T00:08:30     31.63     47.65     30.68     45.18     24.98     33.73     28.21     32.30      2.56     21.08     91.63      1.90     19.01     32.45     18.98     21.96     24.69     21.46     12.27      6.80     31.01     35.43     35.34     37.63     31.70     33.38     32.35     30.56     23.18     28.48    -59.82    -59.82    -54.24    -54.24     35.88     30.27     12.20      1.95     23.43      0.97      1.21     18.30     17.49     93.74     31.24     32.71     32.46    -63.00    -63.00    -62.17    -63.00
2022-05-11T00:09:30     31.60     47.62     30.69     45.17     24.98     33.79     28.22     32.26      2.60     21.09     91.68      1.92     19.04     32.46     19.00     21.94     24.67     21.45     12.28      6.81     31.07     35.45     35.36     37.71     31.73     33.37     32.35     30.57     23.18     28.48    -59.82    -59.82    -54.24    -54.24     35.88     30.10     12.20      1.78     23.43      0.97      1.21     18.30     17.57     93.82     31.24     32.71     32.46    -62.92    -63.00    -62.00    -63.00
